DATE,CPILFESL_PCH
1/1/1962,0.2139
4/1/1962,0.42689
7/1/1962,0.31881
10/1/1962,0.21186
1/1/1963,0.21142
4/1/1963,0.42194
7/1/1963,0.42017
10/1/1963,0.52301
1/1/1964,0.52029
4/1/1964,0.10352
7/1/1964,0.20683
10/1/1964,0.516
1/1/1965,0.41068
4/1/1965,0.30675
7/1/1965,0.10194
10/1/1965,0.50916
1/1/1966,0.50659
4/1/1966,1.00806
7/1/1966,0.8982
10/1/1966,0.98912
1/1/1967,0.58766
4/1/1967,0.77897
7/1/1967,1.0628
10/1/1967,1.05163
1/1/1968,1.2299
4/1/1968,1.02804
7/1/1968,1.3876
10/1/1968,1.45985
1/1/1969,1.34892
4/1/1969,1.59716
7/1/1969,1.39738
10/1/1969,1.37812
1/1/1970,1.52931
4/1/1970,1.841
7/1/1970,1.31471
10/1/1970,1.62206
1/1/1971,0.9577
4/1/1971,1.02767
7/1/1971,0.86072
10/1/1971,0.54306
1/1/1972,0.84877
4/1/1972,0.76511
7/1/1972,0.7593
10/1/1972,0.52751
1/1/1973,0.74963
4/1/1973,1.04167
7/1/1973,1.03093
10/1/1973,1.67638
1/1/1974,1.57706
4/1/1974,2.61115
7/1/1974,3.43879
10/1/1974,2.92553
1/1/1975,2.13178
4/1/1975,1.58128
7/1/1975,1.3076
10/1/1975,1.72096
1/1/1976,1.87311
4/1/1976,1.36418
7/1/1976,1.63839
10/1/1976,1.38169
1/1/1977,1.64679
4/1/1977,1.62011
7/1/1977,1.42936
10/1/1977,1.35501
1/1/1978,1.76471
4/1/1978,2.0494
7/1/1978,2.16272
10/1/1978,2.21774
1/1/1979,2.31755
4/1/1979,2.36145
7/1/1979,2.58945
10/1/1979,3.02891
1/1/1980,3.6971
4/1/1980,3.35052
7/1/1980,1.49626
10/1/1980,3.1122
1/1/1981,2.34313
4/1/1981,2.21187
7/1/1981,3.37889
10/1/1981,1.94638
1/1/1982,1.22478
4/1/1982,1.85053
7/1/1982,1.67715
10/1/1982,0.34364
1/1/1983,0.61644
4/1/1983,0.98707
7/1/1983,1.24705
10/1/1983,1.29827
1/1/1984,1.38022
4/1/1984,1.23177
7/1/1984,1.2488
10/1/1984,1.01202
1/1/1985,1.0958
4/1/1985,1.05296
7/1/1985,0.88875
10/1/1985,1.15431
1/1/1986,1.08108
4/1/1986,0.83185
7/1/1986,0.94284
10/1/1986,0.96322
1/1/1987,0.80948
4/1/1987,1.20447
7/1/1987,0.93511
10/1/1987,1.15104
1/1/1988,0.97141
4/1/1988,1.20946
7/1/1988,1.11353
10/1/1988,1.2087
1/1/1989,1.06157
4/1/1989,1.07668
7/1/1989,0.96129
10/1/1989,1.20947
1/1/1990,1.27129
4/1/1990,1.30555
7/1/1990,1.48699
10/1/1990,1.14774
1/1/1991,1.44858
4/1/1991,0.90433
7/1/1991,1.08491
10/1/1991,0.93327
1/1/1992,0.87841
4/1/1992,0.87076
7/1/1992,0.77238
10/1/1992,0.90171
1/1/1993,0.87131
4/1/1993,0.84164
7/1/1993,0.59302
10/1/1993,0.78603
1/1/1994,0.64991
4/1/1994,0.68876
7/1/1994,0.74818
10/1/1994,0.63654
1/1/1995,0.84335
4/1/1995,0.81539
7/1/1995,0.66363
10/1/1995,0.70045
1/1/1996,0.67512
4/1/1996,0.58931
7/1/1996,0.64646
10/1/1996,0.64231
1/1/1997,0.57838
4/1/1997,0.63454
7/1/1997,0.4335
10/1/1997,0.56896
1/1/1998,0.60476
4/1/1998,0.56234
7/1/1998,0.59776
10/1/1998,0.55588
1/1/1999,0.43843
4/1/1999,0.47447
7/1/1999,0.5289
10/1/1999,0.5637
1/1/2000,0.65396
4/1/2000,0.63115
7/1/2000,0.66408
10/1/2000,0.60473
1/1/2001,0.7286
4/1/2001,0.61483
7/1/2001,0.68296
10/1/2001,0.66048
1/1/2002,0.54974
4/1/2002,0.51146
7/1/2002,0.52641
10/1/2002,0.45383
1/1/2003,0.33015
4/1/2003,0.17319
7/1/2003,0.39765
10/1/2003,0.25831
1/1/2004,0.48093
4/1/2004,0.63248
7/1/2004,0.42466
10/1/2004,0.60893
1/1/2005,0.62206
4/1/2005,0.46784
7/1/2005,0.33261
10/1/2005,0.66302
1/1/2006,0.62572
4/1/2006,0.8182
7/1/2006,0.68171
10/1/2006,0.51588
1/1/2007,0.58589
4/1/2007,0.48537
7/1/2007,0.51555
10/1/2007,0.70393
1/1/2008,0.66232
4/1/2008,0.43449
7/1/2008,0.64365
10/1/2008,0.24481
1/1/2009,0.41973
4/1/2009,0.5098
7/1/2009,0.298
10/1/2009,0.51148
1/1/2010,0.01495
4/1/2010,0.1255
7/1/2010,0.24209
10/1/2010,0.26167
1/1/2011,0.47244
4/1/2011,0.46738
7/1/2011,0.68377
10/1/2011,0.53337
1/1/2012,0.5257
4/1/2012,0.49139
7/1/2012,0.4522
10/1/2012,0.46565
1/1/2013,0.50614
4/1/2013,0.22735
7/1/2013,0.53463
10/1/2013,0.44429
1/1/2014,0.38695
4/1/2014,0.51737
7/1/2014,0.41379
10/1/2014,0.39797
1/1/2015,0.34418
4/1/2015,0.59608
7/1/2015,0.4989
10/1/2015,0.56381
1/1/2016,0.553
4/1/2016,0.56299
7/1/2016,0.53487
10/1/2016,0.51578
1/1/2017,0.51233
4/1/2017,0.20702
7/1/2017,0.4543
10/1/2017,0.5696
1/1/2018,0.67702
4/1/2018,0.47313
7/1/2018,0.49387
10/1/2018,0.54632
1/1/2019,0.56171
