DATE,A939RX0Q048SBEA_PC1
1/1/1962,5.87674
4/1/1962,5.08615
7/1/1962,4.40526
10/1/1962,2.75836
1/1/1963,2.08875
4/1/1963,2.33564
7/1/1963,3.32009
10/1/1963,3.67851
1/1/1964,4.73594
4/1/1964,4.70891
7/1/1964,4.07874
10/1/1964,3.75492
1/1/1965,4.10531
4/1/1965,4.33478
7/1/1965,5.04206
10/1/1965,7.16023
1/1/1966,7.20579
4/1/1966,6.23909
7/1/1966,4.8417
10/1/1966,3.3409
1/1/1967,1.78143
4/1/1967,1.51367
7/1/1967,1.63355
10/1/1967,1.59448
1/1/1968,2.79342
4/1/1968,4.46019
7/1/1968,4.29626
10/1/1968,3.93445
1/1/1969,3.45633
4/1/1969,2.0679
7/1/1969,1.94094
10/1/1969,1.01918
1/1/1970,-0.72235
4/1/1970,-0.96379
7/1/1970,-0.76404
10/1/1970,-1.39598
1/1/1971,1.36839
4/1/1971,1.79311
7/1/1971,1.72513
10/1/1971,3.10712
1/1/1972,2.29608
4/1/1972,4.11293
7/1/1972,4.29028
10/1/1972,5.83256
1/1/1973,6.51836
4/1/1973,5.30244
7/1/1973,3.78003
10/1/1973,3.06173
1/1/1974,-0.28071
4/1/1974,-1.11321
7/1/1974,-1.53697
10/1/1974,-2.85566
1/1/1975,-3.20534
4/1/1975,-2.76933
7/1/1975,-0.20129
10/1/1975,1.5367
1/1/1976,5.08744
4/1/1976,5.13681
7/1/1976,3.97306
10/1/1976,3.32806
1/1/1977,2.23239
4/1/1977,3.4322
7/1/1977,4.69968
10/1/1977,3.93136
1/1/1978,3.04266
4/1/1978,4.96859
7/1/1978,4.13214
10/1/1978,5.52147
1/1/1979,5.3522
4/1/1979,1.53498
7/1/1979,1.2623
10/1/1979,0.1495
1/1/1980,0.25601
4/1/1980,-1.93134
7/1/1980,-2.76829
10/1/1980,-1.16437
1/1/1981,0.53724
4/1/1981,1.94221
7/1/1981,3.31424
10/1/1981,0.32893
1/1/1982,-3.13696
4/1/1982,-1.96183
7/1/1982,-3.47525
10/1/1982,-2.36184
1/1/1983,0.49719
4/1/1983,2.33064
7/1/1983,4.78682
10/1/1983,6.94511
1/1/1984,7.62766
4/1/1984,7.05843
7/1/1984,5.97448
10/1/1984,4.65191
1/1/1985,3.64587
4/1/1985,2.77244
7/1/1985,3.33149
10/1/1985,3.24506
1/1/1986,3.19563
4/1/1986,2.75498
7/1/1986,2.18713
10/1/1986,1.98962
1/1/1987,1.80443
4/1/1987,2.44325
7/1/1987,2.35318
10/1/1987,3.54402
1/1/1988,3.3049
4/1/1988,3.54594
7/1/1988,3.24207
10/1/1988,2.85273
1/1/1989,3.36151
4/1/1989,2.78224
7/1/1989,2.92503
10/1/1989,1.74715
1/1/1990,1.79804
4/1/1990,1.30633
7/1/1990,0.55229
10/1/1990,-0.64125
1/1/1991,-2.25308
4/1/1991,-1.85579
7/1/1991,-1.42914
10/1/1991,-0.16472
1/1/1992,1.51853
4/1/1992,1.81232
7/1/1992,2.2884
10/1/1992,2.99153
1/1/1993,1.94349
4/1/1993,1.46875
7/1/1993,0.98109
10/1/1993,1.32626
1/1/1994,2.16414
4/1/1994,2.95791
7/1/1994,3.09014
10/1/1994,2.88476
1/1/1995,2.25728
4/1/1995,1.20215
7/1/1995,1.46827
10/1/1995,1.00013
1/1/1996,1.4171
4/1/1996,2.80106
7/1/1996,2.84398
10/1/1996,3.20014
1/1/1997,3.07753
4/1/1997,3.06992
7/1/1997,3.42502
10/1/1997,3.24834
1/1/1998,3.6189
4/1/1998,2.8811
7/1/1998,2.90442
10/1/1998,3.68454
1/1/1999,3.63657
4/1/1999,3.47455
7/1/1999,3.52691
10/1/1999,3.61457
1/1/2000,3.01345
4/1/2000,4.12539
7/1/2000,2.96489
10/1/2000,1.91093
1/1/2001,1.27764
4/1/2001,0.05143
7/1/2001,-0.48707
10/1/2001,-0.82316
1/1/2002,0.34171
4/1/2002,0.37479
7/1/2002,1.25059
10/1/2002,1.14259
1/1/2003,0.83101
4/1/2003,1.08816
7/1/2003,2.35317
10/1/2003,3.37412
1/1/2004,3.36675
4/1/2004,3.26945
7/1/2004,2.50505
10/1/2004,2.34644
1/1/2005,2.91392
4/1/2005,2.61001
7/1/2005,2.54937
10/1/2005,2.17177
1/1/2006,2.38813
4/1/2006,2.14525
7/1/2006,1.3954
10/1/2006,1.61096
1/1/2007,0.5129
4/1/2007,0.85412
7/1/2007,1.24541
10/1/2007,1.00326
1/1/2008,0.1882
4/1/2008,0.13728
7/1/2008,-0.92932
10/1/2008,-3.6408
1/1/2009,-4.15593
4/1/2009,-4.77312
7/1/2009,-3.89226
10/1/2009,-0.68389
1/1/2010,0.83247
4/1/2010,1.93439
7/1/2010,2.34691
10/1/2010,1.77672
1/1/2011,1.18029
4/1/2011,0.98862
7/1/2011,0.22357
10/1/2011,0.88567
1/1/2012,1.9211
4/1/2012,1.63683
7/1/2012,1.8063
10/1/2012,0.75472
1/1/2013,0.87249
4/1/2013,0.57171
7/1/2013,1.22162
10/1/2013,1.90759
1/1/2014,0.74165
4/1/2014,1.8653
7/1/2014,2.28731
10/1/2014,1.95376
1/1/2015,3.0576
4/1/2015,2.62376
7/1/2015,1.64435
10/1/2015,1.27195
1/1/2016,0.82568
4/1/2016,0.56959
7/1/2016,0.81809
10/1/2016,1.17482
1/1/2017,1.2569
4/1/2017,1.45347
7/1/2017,1.69052
10/1/2017,1.83383
1/1/2018,1.94464
4/1/2018,2.22937
7/1/2018,2.36512
10/1/2018,2.33782
1/1/2019,2.58143
